"Name","URI","Region GSS code","Period","Sales volume","Reporting period","House price index All property types","Average price All property types","Percentage_change_All_property_types","Percentage change (yearly) All property types","House price index Detached houses","Average price Detached houses","Percentage change (monthly) Detached houses","Percentage change (yearly) Detached houses","House price index Semi-detached houses","Average price Semi-detached houses","Percentage change (monthly) Semi-detached houses","Percentage change (yearly) Semi-detached houses","House price index Terraced houses","Average price Terraced houses","Percentage change (monthly) Terraced houses","Percentage change (yearly) Terraced houses","House price index Flats and maisonettes","Average price Flats and maisonettes","Percentage change (monthly) Flats and maisonettes","Percentage change (yearly) Flats and maisonettes","Date"
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2014-08,11243,monthly,100.47,404754,1.51,20.56,99.44,739313,1.49,19.05,99.93,471552,1.39,19.42,101.4,414689,1.65,20.88,100.26,362768,1.48,20.97,2014-08-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2014-09,10437,monthly,100.2,403670,-0.27,18.55,99.38,738828,-0.07,17.66,99.3,468585,-0.63,18.86,100.71,411840,-0.69,19.0,100.25,362757,0.0,18.37,2014-09-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2014-10,10773,monthly,99.86,402300,-0.34,18.31,99.67,741040,0.3,17.75,99.78,470849,0.48,18.19,100.3,410173,-0.4,19.26,99.7,360746,-0.55,17.99,2014-10-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2014-11,9095,monthly,99.49,400803,-0.37,16.6,99.95,743115,0.28,17.72,100.03,472027,0.25,17.58,100.06,409211,-0.23,17.48,99.06,358450,-0.64,15.9,2014-11-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2014-12,9745,monthly,100.01,402898,0.52,14.45,99.48,739606,-0.47,16.93,99.46,469349,-0.57,15.7,100.13,409482,0.07,15.06,100.13,362322,1.08,13.58,2014-12-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2015-01,8142,monthly,100.0,402847,-0.01,13.21,100.0,743471,0.52,14.03,100.0,471904,0.54,14.05,100.0,408951,-0.13,13.54,100.0,361840,-0.13,12.8,2015-01-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2015-02,7937,monthly,100.48,404773,0.48,13.1,100.67,748417,0.67,13.78,100.38,473702,0.38,13.97,100.49,410966,0.49,13.78,100.48,363574,0.48,12.53,2015-02-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2015-03,8847,monthly,100.46,404706,-0.02,11.98,100.43,746670,-0.23,13.75,100.46,474072,0.08,13.51,100.41,410639,-0.08,12.44,100.49,363615,0.01,11.27,2015-03-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2015-04,8323,monthly,101.89,410445,1.42,9.35,102.17,759614,1.73,10.39,101.81,480438,1.34,10.28,102.49,419154,2.07,9.79,101.56,367469,1.06,8.8,2015-04-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2015-05,9059,monthly,103.22,415817,1.31,8.65,101.98,758190,-0.19,9.49,102.87,485444,1.04,10.03,103.24,422193,0.73,8.74,103.42,374213,1.84,8.24,2015-05-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2015-06,10721,monthly,104.13,419474,0.88,8.34,103.85,772089,1.83,10.44,104.49,493081,1.57,10.47,105.56,431687,2.25,9.59,103.3,373769,-0.12,6.99,2015-06-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2015-07,11980,monthly,107.15,431644,2.9,8.25,105.96,787783,2.03,8.14,107.26,506181,2.66,8.83,108.49,443661,2.77,8.75,106.52,385416,3.12,7.81,2015-07-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2015-08,10499,monthly,108.27,436152,1.04,7.76,108.39,805864,2.3,9.0,109.13,514997,1.74,9.21,109.78,448942,1.19,8.26,107.22,387978,0.66,6.95,2015-08-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2015-09,10686,monthly,109.16,439729,0.82,8.93,110.37,820565,1.82,11.06,109.56,517030,0.39,10.34,110.22,450734,0.4,9.44,108.37,392127,1.07,8.1,2015-09-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2015-10,10926,monthly,109.34,440484,0.17,9.49,110.94,824799,0.52,11.3,111.3,525228,1.59,11.55,111.36,455397,1.03,11.03,107.62,389400,-0.7,7.94,2015-10-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2015-11,9752,monthly,110.58,445485,1.14,11.15,111.46,828661,0.47,11.51,111.95,528318,0.59,11.93,112.1,458454,0.67,12.03,109.33,395612,1.6,10.37,2015-11-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2015-12,9700,monthly,111.72,450053,1.03,11.7,113.64,844884,1.96,14.23,113.68,536465,1.54,14.3,113.2,462912,0.97,13.05,110.24,398893,0.83,10.09,2015-12-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2016-01,7927,monthly,113.56,457466,1.65,13.56,113.92,846956,0.25,13.92,115.86,546758,1.92,15.86,115.01,470317,1.6,15.01,112.15,405793,1.73,12.15,2016-01-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2016-02,8208,monthly,113.63,457759,0.06,13.09,116.2,863896,2.0,15.43,116.63,550400,0.67,16.19,115.58,472651,0.5,15.01,111.58,403745,-0.5,11.05,2016-02-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2016-03,17501,monthly,115.34,464647,1.5,14.81,117.47,873391,1.1,16.97,116.54,549954,-0.08,16.01,116.72,477329,0.99,16.24,114.1,412842,2.25,13.54,2016-03-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2016-04,5746,monthly,114.45,461068,-0.77,12.33,115.65,859832,-1.55,13.19,116.89,551600,0.3,14.81,116.72,477313,0.0,13.88,112.51,407094,-1.39,10.78,2016-04-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2016-05,6617,monthly,116.05,467485,1.39,12.43,116.32,864839,0.58,14.07,118.23,557920,1.15,14.93,117.8,481745,0.93,14.11,114.51,414351,1.78,10.73,2016-05-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2016-06,8464,monthly,116.2,468120,0.14,11.6,119.05,885121,2.35,14.64,118.73,560281,0.42,13.63,118.22,483455,0.35,11.99,114.21,413275,-0.26,10.57,2016-06-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2016-07,8794,monthly,118.04,475530,1.58,10.17,120.13,893103,0.9,13.37,121.36,572688,2.21,13.14,120.64,493363,2.05,11.2,115.62,418347,1.23,8.54,2016-07-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2016-08,8535,monthly,117.16,471957,-0.75,8.21,119.58,889075,-0.45,10.33,120.48,568552,-0.72,10.4,119.42,488355,-1.02,8.78,114.87,415648,-0.65,7.13,2016-08-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2016-09,8275,monthly,117.11,471767,-0.04,7.29,118.86,883706,-0.6,7.69,119.81,565376,-0.56,9.35,119.0,486660,-0.35,7.97,115.24,416967,0.32,6.33,2016-09-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2016-10,8100,monthly,116.92,471008,-0.16,6.93,118.81,883336,-0.04,7.1,119.93,565977,0.11,7.76,117.97,482452,-0.86,5.94,115.39,417532,0.14,7.22,2016-10-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2016-11,8178,monthly,116.88,470854,-0.03,5.69,119.25,886553,0.36,6.99,119.11,562093,-0.69,6.39,117.58,480836,-0.34,4.88,115.7,418660,0.27,5.83,2016-11-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2016-12,8460,monthly,117.26,472374,0.32,4.96,119.31,887005,0.05,4.99,119.15,562272,0.03,4.81,118.22,483479,0.55,4.44,116.06,419937,0.31,5.28,2016-12-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2017-01,6931,monthly,118.06,475619,0.69,3.97,120.15,893279,0.71,5.47,120.56,568911,1.18,4.05,119.26,487710,0.88,3.7,116.58,421834,0.45,3.95,2017-01-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2017-02,7108,monthly,118.34,476717,0.23,4.14,119.43,887959,-0.6,2.79,119.36,563242,-1.0,2.33,118.02,482631,-1.04,2.11,118.08,427256,1.29,5.82,2017-02-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2017-03,8659,monthly,118.02,475442,-0.27,2.32,120.23,893859,0.66,2.34,120.12,566834,0.64,3.07,118.71,485460,0.59,1.7,116.88,422917,-1.02,2.44,2017-03-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2017-04,7120,monthly,119.1,479790,0.91,4.06,120.94,899133,0.59,4.57,120.3,567701,0.15,2.92,119.36,488136,0.55,2.27,118.43,428541,1.33,5.27,2017-04-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2017-05,7874,monthly,119.38,480902,0.23,2.87,119.77,890430,-0.97,2.96,121.12,571569,0.68,2.45,119.3,487874,-0.05,1.27,118.87,430111,0.37,3.8,2017-05-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2017-06,9192,monthly,119.19,480152,-0.16,2.57,119.78,890539,0.01,0.61,120.6,569116,-0.43,1.58,120.03,490877,0.62,1.54,118.28,428001,-0.49,3.56,2017-06-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2017-07,8494,monthly,121.27,488527,1.74,2.73,121.46,903023,1.4,1.11,123.4,582307,2.32,1.68,122.19,499705,1.8,1.29,120.17,434837,1.6,3.94,2017-07-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2017-08,8921,monthly,120.91,487085,-0.3,3.21,121.68,904655,0.18,1.75,122.88,579880,-0.42,1.99,122.55,501173,0.29,2.62,119.45,432209,-0.6,3.98,2017-08-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2017-09,8239,monthly,120.1,483833,-0.67,2.56,122.83,913220,0.95,3.34,122.59,578519,-0.23,2.32,121.36,496318,-0.97,1.98,118.53,428892,-0.77,2.86,2017-09-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2017-10,7990,monthly,119.59,481762,-0.43,2.28,122.24,908782,-0.49,2.88,122.99,580410,0.33,2.55,120.8,494013,-0.46,2.4,117.82,426315,-0.6,2.1,2017-10-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2017-11,7629,monthly,118.23,476290,-1.14,1.15,120.1,892900,-1.75,0.72,121.51,573421,-1.2,2.02,119.41,488341,-1.15,1.56,116.57,421807,-1.06,0.75,2017-11-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2017-12,7883,monthly,118.37,476848,0.12,0.95,120.93,899100,0.69,1.36,121.46,573194,-0.04,1.94,119.74,489692,0.28,1.29,116.6,421917,0.03,0.47,2017-12-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2018-01,6584,monthly,119.1,479772,0.61,0.87,120.46,895602,-0.39,0.26,122.24,576870,0.64,1.4,119.97,490615,0.19,0.6,117.67,425766,0.91,0.93,2018-01-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2018-02,6386,monthly,118.62,477860,-0.4,0.24,120.79,898057,0.27,1.14,121.74,574508,-0.41,2.0,119.7,489511,-0.22,1.43,117.05,423537,-0.52,-0.87,2018-02-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2018-03,7350,monthly,117.25,472357,-1.15,-0.65,119.71,890041,-0.89,-0.43,121.25,572169,-0.41,0.94,119.14,487242,-0.46,0.37,115.12,416546,-1.65,-1.51,2018-03-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2018-04,6511,monthly,118.47,477253,1.04,-0.53,120.91,898928,1.0,-0.02,122.73,579191,1.23,2.02,120.62,493274,1.24,1.05,116.16,420315,0.9,-1.92,2018-04-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2018-05,6980,monthly,118.78,478485,0.26,-0.5,121.47,903088,0.46,1.42,123.3,581868,0.46,1.8,121.62,497350,0.83,1.94,116.09,420076,-0.06,-2.33,2018-05-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2018-06,8135,monthly,119.13,479931,0.3,-0.05,122.28,909153,0.67,2.09,124.52,587607,0.99,3.25,121.57,497145,-0.04,1.28,116.4,421188,0.26,-1.59,2018-06-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2018-07,8303,monthly,120.32,484724,1.0,-0.78,124.96,929011,2.18,2.88,125.38,591665,0.69,1.61,123.44,504801,1.54,1.02,117.27,424322,0.74,-2.42,2018-07-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2018-08,8975,monthly,119.04,479550,-1.07,-1.55,122.74,912509,-1.78,0.87,123.68,583664,-1.35,0.65,121.87,498383,-1.27,-0.56,116.27,420693,-0.86,-2.66,2018-08-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2018-09,7636,monthly,118.29,476545,-0.63,-1.51,122.76,912657,0.02,-0.06,123.69,583686,0.0,0.89,121.42,496528,-0.37,0.04,115.18,416752,-0.94,-2.83,2018-09-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2018-10,7956,monthly,119.17,480057,0.74,-0.35,123.61,919012,0.7,1.13,124.27,586432,0.47,1.04,121.97,498816,0.46,0.97,116.24,420614,0.93,-1.34,2018-10-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2018-11,8130,monthly,117.75,474347,-1.19,-0.41,122.89,913641,-0.58,2.32,123.08,580831,-0.96,1.29,120.96,494653,-0.83,1.29,114.56,414526,-1.45,-1.73,2018-11-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2018-12,6957,monthly,117.48,473252,-0.23,-0.75,120.98,899415,-1.56,0.03,122.88,579876,-0.16,1.17,119.94,490483,-0.84,0.16,114.71,415052,0.13,-1.63,2018-12-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2019-01,6031,monthly,116.69,470067,-0.67,-2.02,122.38,909861,1.16,1.59,122.49,578054,-0.31,0.21,119.39,488264,-0.45,-0.48,113.57,410934,-0.99,-3.48,2019-01-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2019-02,5967,monthly,115.69,466068,-0.85,-2.47,120.67,897130,-1.4,-0.1,121.0,571003,-1.22,-0.61,118.55,484811,-0.71,-0.96,112.69,407751,-0.77,-3.73,2019-02-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2019-03,6875,monthly,115.22,464162,-0.41,-1.73,118.31,879600,-1.95,-1.17,120.04,566491,-0.79,-0.99,118.16,483203,-0.33,-0.83,112.45,406906,-0.21,-2.31,2019-03-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2019-04,6063,monthly,116.55,469537,1.16,-1.62,119.3,886952,0.84,-1.33,120.93,570672,0.74,-1.47,119.79,489897,1.39,-0.68,113.79,411728,1.19,-2.04,2019-04-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2019-05,6815,monthly,115.09,463628,-1.26,-3.11,118.06,877723,-1.04,-2.81,120.2,567219,-0.61,-2.52,119.0,486645,-0.66,-2.15,111.79,404483,-1.76,-3.71,2019-05-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2019-06,6991,monthly,116.8,470519,1.49,-1.96,120.05,892527,1.69,-1.83,122.75,579285,2.13,-1.42,120.18,491488,1.0,-1.14,113.51,410734,1.55,-2.48,2019-06-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2019-07,8275,monthly,118.78,478505,1.7,-1.28,121.08,900158,0.85,-3.11,123.19,581341,0.35,-1.74,122.03,499058,1.54,-1.14,116.04,419875,2.23,-1.05,2019-07-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2019-08,8797,monthly,117.35,472729,-1.21,-1.42,121.43,902797,0.29,-1.06,123.05,580661,-0.12,-0.51,122.39,500513,0.29,0.43,113.26,409829,-2.39,-2.58,2019-08-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2019-09,7586,monthly,118.44,477146,0.93,0.13,121.31,901921,-0.1,-1.18,122.61,578597,-0.36,-0.87,121.91,498570,-0.39,0.41,115.61,418324,2.07,0.38,2019-09-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2019-10,7901,monthly,117.33,472668,-0.94,-1.54,121.22,901258,-0.07,-1.93,123.85,584448,1.01,-0.34,121.11,495293,-0.66,-0.71,113.66,411266,-1.69,-2.22,2019-10-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2019-11,7833,monthly,116.36,468757,-0.83,-1.18,121.66,904492,0.36,-1.0,122.93,580116,-0.74,-0.12,121.09,495186,-0.02,0.11,112.11,405653,-1.36,-2.14,2019-11-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2019-12,7107,monthly,118.94,479153,2.22,1.25,122.24,908784,0.47,1.04,123.92,584771,0.8,0.84,122.9,502617,1.5,2.47,115.63,418382,3.14,0.8,2019-12-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2020-01,6527,monthly,118.15,475948,-0.67,1.25,120.0,892166,-1.83,-1.94,122.94,580151,-0.79,0.36,121.85,498319,-0.86,2.06,115.12,416550,-0.44,1.37,2020-01-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2020-02,6465,monthly,117.78,474480,-0.31,1.8,122.84,913264,2.36,1.8,123.87,584538,0.76,2.37,122.6,501384,0.61,3.42,113.59,411015,-1.33,0.8,2020-02-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2020-03,6842,monthly,119.8,482605,1.71,3.97,123.45,917831,0.5,4.35,125.37,591621,1.21,4.44,123.61,505497,0.82,4.61,116.36,421036,2.44,3.47,2020-03-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2020-04,3206,monthly,118.2,476159,-1.34,1.41,123.99,921807,0.43,3.93,124.05,585408,-1.05,2.58,122.92,502673,-0.56,2.61,114.06,412702,-1.98,0.24,2020-04-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2020-05,2929,monthly,117.47,473225,-0.62,2.07,122.13,907980,-1.5,3.45,123.34,582060,-0.57,2.62,121.68,497618,-1.01,2.25,113.66,411283,-0.34,1.68,2020-05-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2020-06,4511,monthly,119.14,479969,1.43,2.01,121.99,906997,-0.11,1.62,125.66,593008,1.88,2.37,124.82,510449,2.58,3.86,114.62,414734,0.84,0.97,2020-06-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2020-07,5988,monthly,120.1,483830,0.8,1.11,123.78,920274,1.46,2.23,126.12,595144,0.36,2.37,124.97,511049,0.12,2.4,116.03,419846,1.23,-0.01,2020-07-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2020-08,6148,monthly,121.49,489424,1.16,3.53,126.15,937891,1.91,3.89,128.53,606544,1.92,4.46,127.48,521320,2.01,4.16,116.53,421646,0.43,2.88,2020-08-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2020-09,7087,monthly,122.43,493205,0.77,3.37,126.59,941153,0.35,4.35,129.15,609487,0.49,5.34,128.58,525821,0.86,5.47,117.52,425218,0.85,1.65,2020-09-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2020-10,8083,monthly,120.69,486212,-1.42,2.87,126.35,939399,-0.19,4.23,128.29,605395,-0.67,3.58,127.81,522700,-0.59,5.53,114.97,415993,-2.17,1.15,2020-10-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2020-11,7825,monthly,122.76,494552,1.72,5.5,129.06,959523,2.14,6.08,130.6,616305,1.8,6.24,129.93,531341,1.65,7.3,116.9,422998,1.68,4.28,2020-11-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2020-12,9201,monthly,122.67,494193,-0.07,3.14,128.78,957470,-0.21,5.36,131.16,618971,0.43,5.85,130.31,532917,0.3,6.03,116.44,421321,-0.4,0.7,2020-12-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2021-01,8030,monthly,122.7,494231,0.0,3.8,126.3,939149,-1.9,5.3,129.6,611753,-1.2,5.4,128.7,526266,-1.2,5.6,117.8,426340,1.2,2.4,2021-01-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2021-02,10070,monthly,121.8,490544,-0.7,3.4,125.2,931191,-0.8,2.0,128.7,607236,-0.7,3.9,127.3,520691,-1.1,3.9,117.2,423950,-0.6,3.1,2021-02-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2021-03,16466,monthly,123.9,499098,1.7,3.4,125.8,935118,0.4,1.9,129.7,612032,0.8,3.4,129.1,528018,1.4,4.5,119.9,434022,2.4,3.1,2021-03-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2021-04,9151,monthly,121.4,488928,-2.0,2.7,126.8,942851,0.8,2.3,129.0,608728,-0.5,4.0,127.0,519405,-1.6,3.3,116.3,420904,-3.0,2.0,2021-04-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2021-05,7696,monthly,121.2,488226,-0.1,3.2,126.8,943035,0.0,3.9,129.0,608575,0.0,4.6,126.9,518916,-0.1,4.3,116.1,419955,-0.2,2.1,2021-05-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2021-06,26412,monthly,124.8,502730,3.0,4.7,128.3,953749,1.1,5.2,131.9,622210,2.2,4.9,132.3,541094,4.3,6.0,119.2,431135,2.7,4.0,2021-06-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2021-07,3030,monthly,122.8,494873,-1.6,2.3,129.4,962414,0.9,4.6,128.5,606413,-2.5,1.9,126.1,515725,-4.7,0.9,119.5,432437,0.3,3.0,2021-07-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2021-08,6063,monthly,126.6,509859,3.0,4.2,134.4,999384,3.8,6.6,134.7,635880,4.9,4.8,132.4,541459,5.0,3.9,121.1,438023,1.3,3.9,2021-08-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2021-09,12748,monthly,125.6,506165,-0.7,2.6,132.7,986530,-1.3,4.8,134.7,635680,0.0,4.3,132.8,543155,0.3,3.3,119.3,431616,-1.5,1.5,2021-09-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2021-10,4935,monthly,125.1,504044,-0.4,3.7,136.5,1014922,2.9,8.0,135.5,639436,0.6,5.6,131.3,536918,-1.1,2.7,118.5,428773,-0.7,3.1,2021-10-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2021-11,6837,monthly,127.0,511555,1.5,3.4,137.0,1018423,0.3,6.1,136.8,645373,0.9,4.7,132.6,542256,1.0,2.1,121.0,437646,2.1,3.5,2021-11-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2021-12,7655,monthly,127.0,511732,0.0,3.5,136.4,1014018,-0.4,5.9,137.1,646769,0.2,4.5,134.0,548145,1.1,2.9,120.3,435184,-0.6,3.3,2021-12-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2022-01,6300,monthly,127.8,514926,0.6,4.2,137.3,1020547,0.6,8.7,138.4,653223,1.0,6.8,135.1,552622,0.8,5.0,120.7,436910,0.4,2.5,2022-01-01
